departamento;provincia;distrito;ubigeo;capital_legal;categoría;altitud;población;latitud;longitud
Amazonas;Chachapoyas;Chachapoyas;010101;Chachapoyas;Ciudad;2338.0;41843;-6.22944444;-77.87277778
Amazonas;Chachapoyas;Asunción;010102;Asunción;Pueblo;2822.9;269;-6.0325;-77.71083333
Amazonas;Chachapoyas;Balsas;010103;Balsas;Pueblo;859.4;1125;-6.83583333;-78.01972222
Amazonas;Chachapoyas;Cheto;010104;Cheto;Pueblo;2142.6;716;-6.25555556;-77.70083333
Amazonas;Chachapoyas;Chiliquín;010105;Chiliquín;Pueblo;2677.0;554;-6.07833333;-77.7375
Amazonas;Chachapoyas;Chuquibamba;010106;Chuquibamba;Pueblo;2802.7;1872;-6.935;-77.85416667
Amazonas;Chachapoyas;Granada;010107;Granada;Pueblo;3041.1;551;-6.10638889;-77.62861111
Amazonas;Chachapoyas;Huancas;010108;Huancas;Pueblo;2591.4;1538;-6.17361111;-77.86444444
Amazonas;Chachapoyas;La Jalca;010109;La Jalca;Pueblo;2869.1;3279;-6.48472222;-77.815
Amazonas;Chachapoyas;Leimebamba;010110;Leimebamba;Pueblo;2226.1;3716;-6.7075;-77.80388889
Amazonas;Chachapoyas;Levanto;010111;Levanto;Pueblo;2681.4;768;-6.30777778;-77.89916667
Amazonas;Chachapoyas;Magdalena;010112;Magdalena;Pueblo;1891.5;895;-6.37305556;-77.90166667
Amazonas;Chachapoyas;Mariscal Castilla;010113;Duraznopampa;Pueblo;2209.8;1653;-6.59444444;-77.80861111
Amazonas;Chachapoyas;Molinopampa;010114;Molinopampa;Pueblo;2405.4;2185;-6.20916667;-77.66916667
Amazonas;Chachapoyas;Montevideo;010115;Montevideo;Pueblo;2420.9;452;-6.61805556;-77.80222222
Amazonas;Chachapoyas;Olleros;010116;Olleros;Pueblo;3052.7;448;-6.02388889;-77.67638889
Amazonas;Chachapoyas;Quinjalca;010117;Quinjalca;Pueblo;3150.8;757;-6.09138889;-77.67861111
Amazonas;Chachapoyas;San Francisco de Daguas;010118;Daguas;Pueblo;2254.1;335;-6.22916667;-77.74
Amazonas;Chachapoyas;San Isidro de Maino;010119;Maino;Pueblo;2338.5;565;-6.33722222;-77.88055556
Amazonas;Chachapoyas;Soloco;010120;Soloco;Pueblo;2387.0;1214;-6.26055556;-77.74416667
Amazonas;Chachapoyas;Sonche;010121;San Juan de Sonche;Pueblo;2088.6;289;-6.21888889;-77.77527778
Amazonas;Bagua;Bagua;010201;Bagua;Ciudad;407.71;30921;-5.63888889;-78.53111111
Amazonas;Bagua;Aramango;010202;Aramango;Pueblo;501.7;9458;-5.41638889;-78.43777778
Amazonas;Bagua;Copallín;010203;Copallín;Pueblo;692.6;4093;-5.675;-78.42305556
Amazonas;Bagua;El Parco;010204;El Parco;Pueblo;625.7;1240;-5.625;-78.47527778
Amazonas;Bagua;Imaza;010205;Chiriaco;Pueblo;316.9;34658;-5.16361111;-78.28888889
Amazonas;Bagua;La Peca;010206;La Peca;Pueblo;891.6;6155;-5.61194444;-78.43694444
Amazonas;Bongará;Jumbilla;010301;Jumbilla;Villa;2081.0;1207;-5.90444444;-77.79777778
Amazonas;Bongará;Chisquilla;010302;Chisquilla;Pueblo;2057.3;304;-5.8975;-77.78611111
Amazonas;Bongará;Churuja;010303;Churuja;Pueblo;1399.0;289;-6.01944444;-77.95194444
Amazonas;Bongará;Corosha;010304;Corosha;Pueblo;2297.1;856;-5.84333333;-77.8225
Amazonas;Bongará;Cuispes;010305;Cuispes;Pueblo;1911.8;626;-5.92833333;-77.94611111
Amazonas;Bongará;Florida;010306;Florida (Pomacochas);Pueblo;2250.5;6245;-5.82611111;-77.96944444
Amazonas;Bongará;Jazán;010307;Pedro Ruiz Gallo;Pueblo;1341.7;7494;-5.94138889;-77.97722222
Amazonas;Bongará;Recta;010308;Recta;Pueblo;2166.2;205;-5.91777778;-77.78888889
Amazonas;Bongará;San Carlos;010309;San Carlos;Pueblo;1941.7;619;-5.96611111;-77.94527778
Amazonas;Bongará;Shipasbamba;010310;Shipasbamba;Pueblo;1668.4;1761;-5.91055556;-77.98055556
Amazonas;Bongará;Valera;010311;Valera (San Pablo);Pueblo;1928.2;687;-6.04277778;-77.91916667
Amazonas;Bongará;Yambrasbamba;010312;Yambrasbamba;Pueblo;1886.6;5445;-5.73527778;-77.925
Amazonas;Condorcanqui;Nieva;010401;Santa María de Nieva;Villa;188.8;19256;-4.59222222;-77.86444444
Amazonas;Condorcanqui;El Cenepa;010402;Huampami;Pueblo;252.6;13797;-4.45555556;-78.15888889
Amazonas;Condorcanqui;Río Santiago;010403;Puerto Galilea;Pueblo;190.1;19486;-4.01583333;-77.76083333
Amazonas;Luya;Lámud;010501;Lámud;Ciudad;2328.1;2283;-6.13916667;-77.95222222
Amazonas;Luya;Camporredondo;010502;Camporredondo;Pueblo;1747.6;7767;-6.21333333;-78.32
Amazonas;Luya;Cocabamba;010503;Cocabamba;Pueblo;2273.4;1878;-6.61416667;-78.005
